,Jan,,,,Feb,,,,Mar,,,,Apr,,,,May,,,,Jun,,,,Jul,,,,Aug,,,,Sep,,,,Oct,,,,Nov,,,,Dec,,,
"swan sp. (<em class=""sci"">Cygnus sp.</em>)",1.7E-4,1.501E-4,2.053E-4,1.479E-4,1.327E-4,1.655E-4,1.323E-4,6.84E-5,8.22E-5,8.39E-5,8.04E-5,1.052E-4,4.71E-5,2.283E-4,1.226E-4,8.87E-5,1.8E-5,2.59E-5,9.27E-5,7.8E-5,7.51E-5,3.44E-5,4.75E-5,3.99E-5,6.27E-5,3.94E-5,5.37E-5,3.88E-5,6.66E-5,9.27E-5,4.0E-5,4.51E-5,7.68E-5,7.82E-5,3.11E-5,1.1E-4,5.13E-5,8.89E-5,2.15E-5,7.42E-5,1.685E-4,7.69E-5,5.87E-5,1.524E-4,2.211E-4,1.21E-4,1.444E-4,1.61E-4
"Upland Goose (<em class=""sci"">Chloephaga picta</em>)",0,0,8.2E-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"goose sp. (<em class=""sci"">Anatidae (goose sp.)</em>)",6.989E-4,8.671E-4,7.882E-4,7.211E-4,6.729E-4,6.445E-4,8.067E-4,5.864E-4,5.958E-4,5.876E-4,4.319E-4,4.908E-4,4.052E-4,6.182E-4,3.939E-4,3.751E-4,2.879E-4,3.625E-4,2.473E-4,3.474E-4,3.219E-4,2.178E-4,1.783E-4,2.492E-4,1.88E-4,2.494E-4,2.282E-4,1.938E-4,2.399E-4,3.576E-4,3.201E-4,2.797E-4,3.291E-4,3.574E-4,4.045E-4,5.106E-4,6.565E-4,7.705E-4,9.014E-4,8.24E-4,8.313E-4,0.001153,9.862E-4,9.822E-4,0.001179,8.104E-4,0.0010779,8.18E-4
"Egyptian Goose (<em class=""sci"">Alopochen aegyptiaca</em>)",0.0113586,0.0103302,0.010083,0.0094111,0.0091932,0.007691,0.0066523,0.007858,0.0090706,0.0082991,0.0075736,0.0075577,0.0082456,0.0076941,0.0071522,0.0070319,0.0082758,0.0085964,0.0078197,0.0083941,0.007876,0.0072454,0.0067517,0.006937,0.007633,0.0064182,0.0066173,0.0067161,0.0077043,0.0069533,0.0073226,0.0073095,0.0067356,0.007181,0.0072183,0.0067004,0.0072318,0.0075172,0.0082842,0.0070949,0.007066,0.0064127,0.0077719,0.0080104,0.008879,0.0092652,0.0078439,0.0085859
"Ruddy Shelduck (<em class=""sci"">Tadorna ferruginea</em>)",0,8.3E-6,8.2E-6,0,9.5E-6,4.36E-5,4.63E-5,2.93E-5,1.03E-5,0,2.01E-5,0,0,0,0,0,9.0E-6,0,0,0,0,0,0,0,1.25E-5,1.31E-5,0.0015,1.94E-5,1.33E-5,0.0015,4.0E-5,0,0,1.12E-5,0,0.0015,2.05E-5,0,2.15E-5,0,1.12E-5,0.0015,0,1.69E-5,2.46E-5,2.42E-5,0,1.29E-5
"South African Shelduck (<em class=""sci"">Tadorna cana</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0E-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Common Shelduck (<em class=""sci"">Tadorna tadorna</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2E-6,0,0,0,0,0,0,0,0
"Crested Duck (<em class=""sci"">Lophonetta specularioides</em>)",0,0,0,6.2E-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Muscovy Duck (<em class=""sci"">Cairina moschata</em>)",0.0082356,0.0076288,0.0071189,0.0068596,0.0071176,0.0058358,0.0056803,0.0067047,0.0064511,0.0062532,0.0053035,0.0047463,0.0040804,0.0039089,0.0040619,0.0037172,0.0036971,0.0036336,0.0038944,0.0033321,0.0038092,0.0032329,0.0034234,0.0031495,0.0031961,0.0038588,0.0041341,0.003925,0.0041721,0.0045428,0.0043616,0.0046023,0.0043332,0.0043108,0.0047603,0.0049487,0.0047391,0.0046427,0.0056552,0.0058176,0.0068076,0.0060284,0.0066448,0.0068164,0.0083018,0.0072815,0.0061981,0.0078839
"Ringed Teal (<em class=""sci"">Callonetta leucophrys</em>)",0,8.3E-6,0,0,0,0,0,0,0,1.05E-5,0,1.4E-5,9.4E-6,9.5E-6,8.8E-6,6.8E-6,0,0,0,0,0,0,0,0,0,0,0,9.7E-6,0,1.32E-5,0.0015,1.8E-5,1.1E-5,0,0,7.9E-6,1.03E-5,0,1.07E-5,0,0,2.2E-5,0,0,0,0,0,0
"Wood Duck (<em class=""sci"">Aix sponsa</em>)",0.0192667,0.0181591,0.0185403,0.0196912,0.0199407,0.0196413,0.0191701,0.0242386,0.0281981,0.0282234,0.0290186,0.0281205,0.0295994,0.0297779,0.0290114,0.0290689,0.0283897,0.0270494,0.0267455,0.0222969,0.0210634,0.0199477,0.0181036,0.017163,0.0174845,0.0177585,0.0182545,0.020158,0.0218333,0.0224624,0.0224347,0.0249066,0.0248472,0.0243685,0.025098,0.0221278,0.0209569,0.0197661,0.0207643,0.0191339,0.0208048,0.0196115,0.0217777,0.0203392,0.0212703,0.0201149,0.0196144,0.0178095
"Mandarin Duck (<em class=""sci"">Aix galericulata</em>)",3.78E-5,8.3E-6,8.2E-6,6.2E-6,9.5E-6,0.0015,6.6E-6,9.8E-6,4.11E-5,0,0,4.21E-5,2.83E-5,9.5E-6,1.75E-5,0,9.0E-6,1.73E-5,0,4.25E-5,0,0,0.0015,0,0,0,0,0,0,0,0.0015,0,0,1.12E-5,0,5.5E-5,3.08E-5,3.95E-5,3.22E-5,0,0,2.2E-5,1.17E-5,8.5E-6,3.68E-5,3.63E-5,0,5.15E-5
"Baikal Teal (<em class=""sci"">Sibirionetta formosa</em>)",0.0015,0.0015,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21E-4,2.89E-5,6.4E-6
"Garganey (<em class=""sci"">Spatula querquedula</em>)",3.778E-4,5.253E-4,3.449E-4,1.664E-4,1.137E-4,2.352E-4,1.653E-4,5.571E-4,0.0017566,0.001301,5.223E-4,9.11E-5,0.0015,2.85E-5,8.8E-6,6.8E-6,0.0015,0,0,0,1.07E-5,0,0.0015,0,0,0,0,0,0,0,0.0015,0.0015,0.0015,3.35E-5,3.111E-4,1.021E-4,1.03E-5,1.185E-4,5.795E-4,4.94E-5,8.99E-5,1.208E-4,1.17E-5,4.911E-4,8.228E-4,4.112E-4,2.31E-4,3.478E-4
"Blue-winged Teal (<em class=""sci"">Spatula discors</em>)",0.0260982,0.0265716,0.0268169,0.0243074,0.0235516,0.0214008,0.0186609,0.0257926,0.0266983,0.0256634,0.0231224,0.0204086,0.0223338,0.0207618,0.0181037,0.0146231,0.0081859,0.0048592,0.0044404,0.0043601,0.0042813,0.004815,0.004196,0.0050732,0.0040108,0.0032944,0.0026174,0.0020933,0.0021327,0.0021721,0.0033612,0.0050716,0.007712,0.0101405,0.0129016,0.0151053,0.0187001,0.0229271,0.0221056,0.0206831,0.0221978,0.0234328,0.0228343,0.0231505,0.0235177,0.0220139,0.0187001,0.021964
"Cinnamon Teal (<em class=""sci"">Spatula cyanoptera</em>)",0.0525931,0.0541021,0.0585603,0.0613047,0.0666363,0.0644723,0.0580063,0.0808769,0.0843375,0.0830754,0.0799642,0.0762711,0.0728912,0.0679918,0.0627588,0.0520062,0.0454361,0.0372685,0.0350906,0.0326761,0.0303128,0.0301738,0.0292296,0.0290336,0.0280629,0.0273924,0.0284556,0.0311964,0.0324301,0.0334287,0.0389474,0.0428827,0.0442862,0.0432088,0.0409243,0.0392048,0.0371233,0.0408657,0.0390711,0.0420255,0.0443169,0.0472279,0.0494371,0.0512629,0.0513337,0.0471001,0.0391134,0.0453257
"Blue-winged x Cinnamon Teal (hybrid) (<em class=""sci"">Spatula discors x cyanoptera</em>)",3.148E-4,2.501E-4,3.202E-4,1.171E-4,1.99E-4,1.307E-4,9.26E-5,8.8E-5,1.438E-4,1.574E-4,1.406E-4,1.542E-4,1.037E-4,1.236E-4,1.313E-4,6.82E-5,0,0.0015,2.06E-5,1.42E-5,2.15E-5,3.44E-5,1.19E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.65E-5,0.0015,5.49E-5,3.52E-5,9.31E-5,8.6E-5,6.05E-5,1.251E-4,1.481E-4
"Blue-winged/Cinnamon Teal (<em class=""sci"">Spatula discors/cyanoptera</em>)",5.478E-4,4.586E-4,5.666E-4,3.266E-4,3.981E-4,5.662E-4,4.232E-4,4.594E-4,5.855E-4,4.931E-4,5.625E-4,4.487E-4,3.581E-4,4.85E-4,2.714E-4,1.91E-4,2.789E-4,1.554E-4,1.545E-4,2.198E-4,3.648E-4,2.981E-4,4.042E-4,3.688E-4,5.389E-4,7.35E-4,7.382E-4,0.0010564,0.0011197,0.0014304,0.0022141,0.003005,0.0028742,0.0028925,0.0023853,0.0027257,0.0030671,0.0026078,0.0022642,0.0016893,0.001393,0.0010432,0.0011036,7.197E-4,4.912E-4,5.564E-4,5.967E-4,4.38E-4
"Northern Shoveler (<em class=""sci"">Spatula clypeata</em>)",0.1435246,0.1439053,0.1462776,0.1384919,0.1322681,0.1151216,0.0971929,0.1173326,0.1146723,0.1088437,0.1006157,0.0902016,0.0812782,0.0719102,0.0644308,0.0471773,0.0329054,0.0231828,0.0192349,0.0169442,0.0149579,0.0146627,0.0107338,0.0097875,0.0082597,0.0079014,0.0071139,0.0084702,0.0119963,0.0201976,0.0311312,0.0470247,0.0609059,0.0646066,0.0657319,0.0699339,0.071918,0.0838157,0.08912,0.1020065,0.1104159,0.1185694,0.1290224,0.1322726,0.1363045,0.1327124,0.1210937,0.1323702
"Blue-winged Teal x Northern Shoveler (hybrid) (<em class=""sci"">Spatula discors x clypeata</em>)",3.78E-5,1.084E-4,1.314E-4,1.048E-4,5.69E-5,8.7E-6,1.32E-5,2.93E-5,3.08E-5,3.15E-5,3.01E-5,2.1E-5,1.88E-5,2.85E-5,7.0E-5,2.05E-5,0,0,0,7.1E-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12E-5,0,7.04E-5,5.08E-5,6.14E-5,1.21E-4,7.7E-5,8.37E-5
"Cinnamon Teal x Northern Shoveler (hybrid) (<em class=""sci"">Spatula cyanoptera x clypeata</em>)",5.04E-5,4.17E-5,5.75E-5,3.7E-5,5.69E-5,9.58E-5,4.63E-5,9.77E-5,7.19E-5,8.39E-5,8.04E-5,2.8E-5,2.83E-5,0,3.5E-5,0,0,0,0,0,0,0,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0.0015,7.42E-5,1.685E-4,1.098E-4,9.39E-5,1.27E-4,7.37E-5,8.47E-5,1.251E-4,1.288E-4
"Gadwall (<em class=""sci"">Mareca strepera</em>)",0.102057,0.0994914,0.0983504,0.0977042,0.0951162,0.0819709,0.0689635,0.0873666,0.0894326,0.085583,0.0798538,0.0754157,0.0747383,0.0742023,0.0757325,0.076103,0.0781617,0.0723188,0.0709539,0.0653593,0.0632867,0.0616774,0.0538828,0.048808,0.0417873,0.0356351,0.0338649,0.0347434,0.0340562,0.0360246,0.041695,0.0455989,0.0483232,0.0494628,0.0516791,0.0531632,0.0561414,0.0606219,0.0659949,0.0776317,0.0825563,0.0873623,0.0948238,0.0971659,0.10182,0.0969943,0.086908,0.0907352
"Northern Shoveler x Gadwall (hybrid) (<em class=""sci"">Spatula clypeata x Mareca strepera</em>)",0,8.3E-6,1.64E-5,6.2E-6,0.0015,0,6.6E-6,0,1.03E-5,0,0,7.0E-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12E-5,0,0,8.5E-6,0,0,9.6E-6,0
"Falcated Duck (<em class=""sci"">Mareca falcata</em>)",3.337E-4,3.418E-4,2.627E-4,2.404E-4,9.48E-5,8.71E-5,1.124E-4,0,0,1.05E-5,2.01E-5,7.01E-5,2.83E-5,0,0,0,0,0,0,7.1E-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0,0,0,0,0,0.0015,4.49E-5,0,7.04E-5,1.439E-4,2.088E-4,8.588E-4,3.946E-4,4.122E-4
"Eurasian Wigeon (<em class=""sci"">Mareca penelope</em>)",0.0120574,0.013265,0.0123656,0.0121352,0.0115246,0.0096769,0.0072541,0.0088745,0.0080639,0.0070821,0.0049921,0.003849,0.0020826,0.0016644,0.0013919,8.321E-4,3.508E-4,1.381E-4,2.37E-4,9.22E-5,5.37E-5,1.15E-5,1.19E-5,1.0E-5,0,2.63E-5,0.0015,0,1.33E-5,0,0,2.71E-5,4.39E-5,8.93E-5,2.178E-4,8.562E-4,0.0021747,0.0031511,0.0043567,0.004664,0.0054259,0.0064786,0.0073375,0.0085862,0.0100211,0.0102207,0.009018,0.0091334
"American Wigeon (<em class=""sci"">Mareca americana</em>)",0.1546564,0.1539937,0.1542832,0.1524945,0.1482756,0.1325941,0.1136518,0.1404668,0.1353611,0.1279915,0.1154514,0.0972195,0.0754073,0.0584621,0.0439198,0.0288029,0.0165967,0.0105039,0.0077888,0.0066501,0.0051398,0.0051933,0.0041009,0.0040665,0.0036849,0.0035701,0.0033422,0.0033047,0.0036256,0.0039203,0.0045483,0.0066688,0.0110469,0.0169641,0.0246313,0.0375473,0.0522126,0.0664698,0.0791295,0.0963537,0.1108765,0.120524,0.1327322,0.1403338,0.1496537,0.1470336,0.1337594,0.1448723
"Northern Shoveler x American Wigeon (hybrid) (<em class=""sci"">Spatula clypeata x Mareca americana</em>)",1.26E-5,1.67E-5,0,6.2E-6,0,0,0,0,0.0015,1.05E-5,0,0,9.4E-6,9.5E-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07E-5,0,0,0,1.17E-5,0,6.14E-5,0,9.6E-6,1.29E-5
"Gadwall x American Wigeon (hybrid) (<em class=""sci"">Mareca strepera x americana</em>)",6.3E-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5E-6,0,0,0,0
"Eurasian x American Wigeon (hybrid) (<em class=""sci"">Mareca penelope x americana</em>)",6.737E-4,6.42E-4,6.651E-4,3.944E-4,4.834E-4,3.484E-4,3.042E-4,5.082E-4,4.314E-4,3.253E-4,2.411E-4,1.402E-4,1.131E-4,8.56E-5,2.63E-5,2.73E-5,4.5E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0E-6,0,0,3.11E-5,4.71E-5,8.21E-5,2.568E-4,4.292E-4,3.049E-4,2.921E-4,4.173E-4,4.461E-4,4.064E-4,5.281E-4,5.564E-4,5.39E-4,5.926E-4
"Eurasian/American Wigeon (<em class=""sci"">Mareca penelope/americana</em>)",6.93E-5,8.34E-5,1.15E-4,3.08E-5,4.74E-5,6.1E-5,1.98E-5,3.91E-5,5.14E-5,3.15E-5,2.01E-5,2.1E-5,9.4E-6,9.5E-6,0,2.05E-5,0.0015,0,0,0,1.07E-5,0,0,0,0,0,0,0,0,0,0,9.0E-6,1.1E-5,0,2.07E-5,4.71E-5,5.13E-5,3.95E-5,7.51E-5,7.42E-5,8.99E-5,9.88E-5,1.291E-4,1.185E-4,1.351E-4,1.331E-4,1.444E-4,9.02E-5
"Chiloe Wigeon (<em class=""sci"">Mareca sibilatrix</em>)",3.78E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34E-5,0,0,0,0,0,0,0,0,7.9E-6,0,0,0,4.94E-5,2.25E-5,1.098E-4,1.17E-5,5.93E-5,1.23E-5,1.21E-5,2.89E-5,1.29E-5
"Mallard (<em class=""sci"">Anas platyrhynchos</em>)",0.2811872,0.2798316,0.2799432,0.281791,0.2853866,0.2634027,0.2450521,0.2947926,0.3162707,0.3217047,0.3235935,0.3190218,0.3179227,0.315355,0.3120256,0.3074882,0.3064129,0.2945401,0.2876482,0.2631034,0.2375986,0.224859,0.2121079,0.2129231,0.2163439,0.2173673,0.2256584,0.2379513,0.2504565,0.2542382,0.2588799,0.2708503,0.2610112,0.253356,0.2537491,0.2433821,0.2383624,0.2404133,0.2445246,0.2565201,0.2623964,0.2641514,0.2732129,0.277035,0.2850002,0.2755972,0.2593092,0.2655648
"Muscovy Duck x Mallard (hybrid) (<em class=""sci"">Cairina moschata x Anas platyrhynchos</em>)",2.456E-4,2.918E-4,1.806E-4,1.911E-4,2.938E-4,1.568E-4,1.852E-4,1.271E-4,1.746E-4,1.784E-4,1.507E-4,1.052E-4,1.602E-4,1.617E-4,1.051E-4,1.978E-4,2.069E-4,1.208E-4,1.442E-4,1.56E-4,9.66E-5,2.178E-4,1.545E-4,1.395E-4,1.253E-4,1.181E-4,1.611E-4,1.066E-4,2.533E-4,1.06E-4,2.401E-4,1.444E-4,1.426E-4,1.899E-4,9.33E-5,1.178E-4,1.436E-4,2.272E-4,1.395E-4,1.895E-4,3.258E-4,1.977E-4,1.878E-4,1.609E-4,2.088E-4,2.903E-4,1.732E-4,2.963E-4
"Wood Duck x Mallard (hybrid) (<em class=""sci"">Aix sponsa x Anas platyrhynchos</em>)",0.0015,0,8.2E-6,6.2E-6,0,0,6.6E-6,9.8E-6,0,1.05E-5,2.01E-5,0,9.4E-6,9.5E-6,0,0,0,0,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0,0,1.07E-5,0.0015,1.12E-5,0,1.17E-5,8.5E-6,0,1.21E-5,0,0
"Northern Shoveler x Mallard (hybrid) (<em class=""sci"">Spatula clypeata x Anas platyrhynchos</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1E-6,0,0,0,0,0,0,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.6E-6,0
"Gadwall x Mallard (hybrid) (<em class=""sci"">Mareca strepera x Anas platyrhynchos</em>)",5.67E-5,1.167E-4,9.03E-5,2.47E-5,5.69E-5,5.23E-5,7.94E-5,9.77E-5,1.335E-4,4.2E-5,1.004E-4,5.61E-5,7.54E-5,7.61E-5,6.13E-5,5.46E-5,7.2E-5,8.6E-6,2.06E-5,2.13E-5,1.07E-5,0,0,0,0,0,0,0,0,0,1.33E-5,4.51E-5,5.49E-5,8.93E-5,4.15E-5,2.36E-5,0,5.93E-5,6.44E-5,1.071E-4,1.011E-4,1.098E-4,1.291E-4,1.016E-4,1.228E-4,1.21E-4,1.829E-4,1.095E-4
"American Wigeon x Mallard (hybrid) (<em class=""sci"">Mareca americana x Anas platyrhynchos</em>)",2.52E-5,3.34E-5,1.64E-5,1.85E-5,0,0,6.6E-6,9.8E-6,0,0,0,0,0,0,8.8E-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0E-6,0,0,0,0,0,0,0,0,1.12E-5,2.2E-5,0,8.47E-5,7.37E-5,9.68E-5,4.81E-5,4.51E-5
"Mexican Duck (<em class=""sci"">Anas diazi</em>)",4.974E-4,2.084E-4,9.03E-5,4.807E-4,5.213E-4,2.265E-4,1.124E-4,9.8E-6,2.05E-5,1.05E-5,4.02E-5,3.51E-5,3.77E-5,0,8.8E-6,6.8E-6,9.0E-6,8.6E-6,0,0,0.0015,0,0,1.0E-5,1.25E-5,1.31E-5,4.03E-5,1.938E-4,1.999E-4,5.3E-5,9.34E-5,2.71E-5,3.29E-5,2.23E-5,0,1.57E-5,1.03E-5,0,6.44E-5,1.318E-4,1.573E-4,1.098E-4,3.17E-4,2.032E-4,2.947E-4,3.63E-5,1.059E-4,1.417E-4
"Mallard x Mexican Duck (hybrid) (<em class=""sci"">Anas platyrhynchos x diazi</em>)",6.3E-5,3.34E-5,2.46E-5,0,1.9E-5,8.7E-6,0,9.8E-6,1.03E-5,2.1E-5,2.01E-5,2.1E-5,1.88E-5,9.5E-6,1.75E-5,0,0,1.73E-5,0,7.1E-6,0,3.44E-5,0,0,1.25E-5,0,0,1.94E-5,2.67E-5,0,4.0E-5,9.0E-6,1.1E-5,1.12E-5,1.04E-5,0,2.05E-5,1.98E-5,1.07E-5,3.3E-5,2.25E-5,4.39E-5,1.17E-5,1.69E-5,1.23E-5,4.84E-5,2.89E-5,9.66E-5
"Mallard/Mexican Duck (<em class=""sci"">Anas platyrhynchos/diazi</em>)",6.3E-6,0,0,0,1.9E-5,0.0015,1.32E-5,9.8E-6,0,0,0,1.4E-5,0,0,0,6.8E-6,0.0015,1.73E-5,0,0.0015,0,3.44E-5,1.19E-5,2.99E-5,2.51E-5,2.63E-5,2.68E-5,2.91E-5,2.67E-5,6.62E-5,0,3.61E-5,1.1E-5,3.35E-5,0,0,2.05E-5,9.9E-6,2.15E-5,3.3E-5,2.25E-5,1.1E-5,2.35E-5,0,1.23E-5,1.21E-5,9.6E-6,1.93E-5
"White-cheeked Pintail (<em class=""sci"">Anas bahamensis</em>)",0,0.0015,0,0,0,0,0,0,0,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,2.51E-5,1.31E-5,0,0,0.0015,0,0,9.0E-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Northern Pintail (<em class=""sci"">Anas acuta</em>)",0.074454,0.0757629,0.079416,0.0774522,0.0720101,0.0654217,0.0549711,0.0632843,0.0530473,0.0442132,0.0341412,0.0259682,0.0208261,0.0185839,0.0191104,0.0162328,0.0133943,0.0112202,0.0097359,0.0089188,0.0086378,0.0093777,0.0077383,0.0061496,0.0057906,0.0050663,0.005369,0.0050395,0.0062248,0.0086485,0.0146319,0.0226054,0.0291365,0.0282996,0.0303561,0.0330464,0.035523,0.0419721,0.04713,0.0533311,0.0566627,0.0631389,0.069442,0.0719493,0.0740777,0.0720411,0.0654649,0.0714571
"Gadwall x Northern Pintail (hybrid) (<em class=""sci"">Mareca strepera x Anas acuta</em>)",0,0,0,0,0,8.7E-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23E-5,0,0,0
"American Wigeon x Northern Pintail (hybrid) (<em class=""sci"">Mareca americana x Anas acuta</em>)",0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mallard x Northern Pintail (hybrid) (<em class=""sci"">Anas platyrhynchos x acuta</em>)",6.3E-6,1.67E-5,3.28E-5,2.47E-5,9.5E-6,1.74E-5,0,0,0.0015,1.05E-5,0,0,0,0,0,6.8E-6,0,0,0,0,1.07E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05E-5,0,0,8.2E-6,0,0,0,4.23E-5,0,3.63E-5,1.92E-5,1.29E-5
"Green-winged Teal (<em class=""sci"">Anas crecca</em>)",0.100804,0.1011673,0.1025791,0.0995655,0.0966042,0.0859427,0.0722301,0.0897709,0.0872138,0.0832328,0.0731742,0.0660352,0.0582753,0.0524324,0.0499252,0.0316607,0.0173972,0.0104348,0.0077475,0.0072385,0.0069424,0.0069932,0.0064664,0.0059702,0.0046124,0.0043051,0.0042818,0.0041479,0.0051717,0.0094697,0.0181265,0.0273341,0.0336672,0.03538,0.036724,0.0391969,0.0429395,0.0532627,0.0607797,0.0705945,0.0769058,0.0836069,0.0877329,0.093347,0.0985288,0.0962322,0.0880244,0.0920556
"Blue-winged x Green-winged Teal (hybrid) (<em class=""sci"">Spatula discors x Anas crecca</em>)",6.3E-6,8.3E-6,0,0,0,0,6.6E-6,9.8E-6,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12E-5,0,0,0,0,0,0,6.4E-6
"Gadwall x Green-winged Teal (hybrid) (<em class=""sci"">Mareca strepera x Anas crecca</em>)",0,0,0,0,0,0,6.6E-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.6E-6,0
"American Wigeon x Green-winged Teal (hybrid) (<em class=""sci"">Mareca americana x Anas crecca</em>)",0,0,8.2E-6,1.85E-5,2.84E-5,0,0,0,0,9.44E-5,4.02E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.93E-5
"Northern Pintail x Green-winged Teal (hybrid) (<em class=""sci"">Anas acuta x crecca</em>)",6.3E-6,0,0,6.2E-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anas sp. (<em class=""sci"">Anas sp.</em>)",0,0,0,0,0,0,6.6E-6,0,0,1.05E-5,0,0,0,0,0,0,9.0E-6,0,0,0,0,0,0,0,0,1.31E-5,0,0,0,0,0,0,1.1E-5,0,0,0,0,9.9E-6,0,8.2E-6,0,0.0015,0,0,0,0,9.6E-6,0
"teal sp. (<em class=""sci"">Anatidae sp. (teal sp.)</em>)",4.281E-4,3.752E-4,3.941E-4,3.575E-4,3.128E-4,3.571E-4,2.976E-4,4.398E-4,2.26E-4,4.197E-4,3.013E-4,2.594E-4,1.885E-4,1.617E-4,1.751E-4,2.046E-4,1.799E-4,7.77E-5,1.236E-4,1.063E-4,1.61E-4,2.064E-4,1.783E-4,2.392E-4,4.011E-4,4.2E-4,5.101E-4,7.85E-4,7.331E-4,0.0010595,0.0013738,0.0016514,0.0020295,0.0018539,0.0022298,0.0018931,0.0021542,0.0018867,0.0020711,0.0020106,0.0011908,0.0015153,0.0010566,7.536E-4,8.228E-4,5.927E-4,4.523E-4,3.929E-4
"dabbling duck sp. (<em class=""sci"">Anatidae sp. (dabbling duck sp.)</em>)",4.47E-4,5.419E-4,6.405E-4,4.746E-4,5.023E-4,3.484E-4,5.092E-4,3.714E-4,5.753E-4,3.462E-4,2.812E-4,3.505E-4,2.827E-4,3.329E-4,2.451E-4,2.796E-4,2.519E-4,2.158E-4,1.957E-4,2.056E-4,3.434E-4,4.356E-4,4.398E-4,4.684E-4,6.142E-4,5.775E-4,7.517E-4,7.268E-4,9.064E-4,9.536E-4,0.0010937,0.0011912,0.001459,0.0010163,9.127E-4,9.662E-4,8.104E-4,8.89E-4,7.19E-4,8.075E-4,7.077E-4,6.479E-4,7.161E-4,7.875E-4,7.0E-4,6.653E-4,5.582E-4,5.41E-4
"Red-crested Pochard (<em class=""sci"">Netta rufina</em>)",6.3E-6,0,0.0015,0.0015,0,0,0,0.0015,0,0,0,0,0,0,0,0,0,0,1.03E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0,0,0,0,0,0.0015,0,0,0,0
